"BehaviorSpace results (NetLogo 6.0.4)"
"Sugarscape 1 Immediate Growback.nlogo"
"CW2"
"02/13/2019 17:30:32:121 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","visualization","initial-population","[step]","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","mean [sugar] of turtles","mean [psugar] of patches"
"7","color-agents-by-metabolism","50","22","36","3.75","2.1944444444444446","35.833333333333336","1.804"
"1","color-agents-by-metabolism","50","23","32","3.1875","2.09375","34","1.8112"
"4","color-agents-by-metabolism","50","23","29","3.2758620689655173","1.5517241379310345","42.96551724137931","1.816"
"2","color-agents-by-metabolism","50","12","36","3.0277777777777777","1.9722222222222223","26.333333333333332","1.808"
"6","color-agents-by-metabolism","50","24","30","3.7333333333333334","2.2333333333333334","35.4","1.81"
"8","color-agents-by-metabolism","50","15","40","3.5","1.95","29.75","1.8028"
"3","color-agents-by-metabolism","50","8","42","3.5476190476190474","2.0714285714285716","19.666666666666668","1.8044"
"7","color-agents-by-metabolism","50","23","35","3.8285714285714287","2.142857142857143","37.8","1.804"
"5","color-agents-by-metabolism","50","16","37","3.6486486486486487","2.324324324324324","24.91891891891892","1.806"
"1","color-agents-by-metabolism","50","24","32","3.1875","2.09375","34.84375","1.8112"
"7","color-agents-by-metabolism","50","24","35","3.8285714285714287","2.142857142857143","38.77142857142857","1.8052"
"4","color-agents-by-metabolism","50","24","28","3.3214285714285716","1.5","45.75","1.8168"
"8","color-agents-by-metabolism","50","16","40","3.5","1.95","30.675","1.8028"
"2","color-agents-by-metabolism","50","13","36","3.0277777777777777","1.9722222222222223","27.13888888888889","1.8088"
"1","color-agents-by-metabolism","50","25","30","3.1333333333333333","2","38.06666666666667","1.8112"
"6","color-agents-by-metabolism","50","25","29","3.689655172413793","2.1724137931034484","37.55172413793103","1.8112"
"7","color-agents-by-metabolism","50","25","34","3.823529411764706","2.1470588235294117","40.911764705882355","1.8052"
"8","color-agents-by-metabolism","50","17","40","3.5","1.95","31.6","1.8028"
"3","color-agents-by-metabolism","50","9","42","3.5476190476190474","2.0714285714285716","20.19047619047619","1.8052"
"4","color-agents-by-metabolism","50","25","28","3.3214285714285716","1.5","47.035714285714285","1.8176"
"6","color-agents-by-metabolism","50","26","29","3.689655172413793","2.1724137931034484","38.51724137931034","1.8124"
"7","color-agents-by-metabolism","50","26","34","3.823529411764706","2.1470588235294117","41.94117647058823","1.8056"
"1","color-agents-by-metabolism","50","26","30","3.1333333333333333","2","39.03333333333333","1.8132"
"6","color-agents-by-metabolism","50","27","29","3.689655172413793","2.1724137931034484","39.48275862068966","1.8124"
"8","color-agents-by-metabolism","50","18","40","3.5","1.95","32.525","1.8028"
"3","color-agents-by-metabolism","50","10","41","3.6097560975609757","2.073170731707317","21.21951219512195","1.8052"
"5","color-agents-by-metabolism","50","17","37","3.6486486486486487","2.324324324324324","25.486486486486488","1.806"
"1","color-agents-by-metabolism","50","27","30","3.1333333333333333","2","40","1.8132"
"4","color-agents-by-metabolism","50","26","28","3.3214285714285716","1.5","48.32142857142857","1.8176"
"5","color-agents-by-metabolism","50","18","37","3.6486486486486487","2.324324324324324","26.054054054054053","1.806"
"4","color-agents-by-metabolism","50","27","28","3.3214285714285716","1.5","49.607142857142854","1.8176"
"8","color-agents-by-metabolism","50","19","40","3.5","1.95","33.45","1.8028"
"2","color-agents-by-metabolism","50","14","36","3.0277777777777777","1.9722222222222223","27.944444444444443","1.8088"
"7","color-agents-by-metabolism","50","27","34","3.823529411764706","2.1470588235294117","42.970588235294116","1.8056"
"3","color-agents-by-metabolism","50","11","39","3.6153846153846154","1.9743589743589745","22.94871794871795","1.8052"
"5","color-agents-by-metabolism","50","19","37","3.6486486486486487","2.324324324324324","26.62162162162162","1.806"
"2","color-agents-by-metabolism","50","15","36","3.0277777777777777","1.9722222222222223","28.75","1.8088"
"3","color-agents-by-metabolism","50","12","39","3.6153846153846154","1.9743589743589745","23.641025641025642","1.8072"
"8","color-agents-by-metabolism","50","20","40","3.5","1.95","34.375","1.8028"
"3","color-agents-by-metabolism","50","13","39","3.6153846153846154","1.9743589743589745","24.333333333333332","1.8072"
"5","color-agents-by-metabolism","50","20","36","3.638888888888889","2.2777777777777777","27.944444444444443","1.806"
"8","color-agents-by-metabolism","50","21","39","3.5384615384615383","1.9230769230769231","36.205128205128204","1.8028"
"3","color-agents-by-metabolism","50","14","39","3.6153846153846154","1.9743589743589745","25.025641025641026","1.8072"
"2","color-agents-by-metabolism","50","16","36","3.0277777777777777","1.9722222222222223","29.555555555555557","1.8088"
"5","color-agents-by-metabolism","50","21","35","3.7142857142857144","2.2285714285714286","29.37142857142857","1.8072"
"8","color-agents-by-metabolism","50","22","39","3.5384615384615383","1.9230769230769231","37.17948717948718","1.8036"
"5","color-agents-by-metabolism","50","22","34","3.7058823529411766","2.176470588235294","30.91176470588235","1.8084"
"8","color-agents-by-metabolism","50","23","38","3.6052631578947367","1.9473684210526316","39.1578947368421","1.8036"
"3","color-agents-by-metabolism","50","15","38","3.6052631578947367","1.9736842105263157","26.394736842105264","1.8072"
"3","color-agents-by-metabolism","50","16","38","3.6052631578947367","1.9736842105263157","27.13157894736842","1.8076"
"8","color-agents-by-metabolism","50","24","38","3.6052631578947367","1.9473684210526316","40.18421052631579","1.8036"
"3","color-agents-by-metabolism","50","17","38","3.6052631578947367","1.9736842105263157","27.86842105263158","1.8076"
"8","color-agents-by-metabolism","50","25","37","3.5675675675675675","1.945945945945946","42.32432432432432","1.8036"
"5","color-agents-by-metabolism","50","23","34","3.7058823529411766","2.176470588235294","31.61764705882353","1.8096"
"8","color-agents-by-metabolism","50","26","37","3.5675675675675675","1.945945945945946","43.4054054054054","1.804"
"3","color-agents-by-metabolism","50","18","38","3.6052631578947367","1.9736842105263157","28.605263157894736","1.8076"
"8","color-agents-by-metabolism","50","27","37","3.5675675675675675","1.945945945945946","44.486486486486484","1.804"
"3","color-agents-by-metabolism","50","19","37","3.5675675675675675","1.945945945945946","30.135135135135137","1.8076"
"2","color-agents-by-metabolism","50","17","36","3.0277777777777777","1.9722222222222223","30.36111111111111","1.8088"
"3","color-agents-by-metabolism","50","20","37","3.5675675675675675","1.945945945945946","30.91891891891892","1.8084"
"3","color-agents-by-metabolism","50","21","36","3.638888888888889","1.9444444444444444","32.583333333333336","1.8084"
"5","color-agents-by-metabolism","50","24","33","3.727272727272727","2.121212121212121","33.303030303030305","1.8096"
"3","color-agents-by-metabolism","50","22","35","3.6857142857142855","1.8857142857142857","34.371428571428574","1.8088"
"3","color-agents-by-metabolism","50","23","35","3.6857142857142855","1.8857142857142857","35.25714285714286","1.81"
"5","color-agents-by-metabolism","50","25","33","3.727272727272727","2.121212121212121","34.06060606060606","1.8108"
"3","color-agents-by-metabolism","50","24","34","3.7058823529411766","1.8529411764705883","37.205882352941174","1.81"
"2","color-agents-by-metabolism","50","18","36","3.0277777777777777","1.9722222222222223","31.166666666666668","1.8088"
"3","color-agents-by-metabolism","50","25","33","3.787878787878788","1.8181818181818181","39.303030303030305","1.8108"
"2","color-agents-by-metabolism","50","19","36","3.0277777777777777","1.9722222222222223","31.97222222222222","1.8088"
"3","color-agents-by-metabolism","50","26","33","3.787878787878788","1.8181818181818181","40.303030303030305","1.8116"
"2","color-agents-by-metabolism","50","20","36","3.0277777777777777","1.9722222222222223","32.77777777777778","1.8088"
"3","color-agents-by-metabolism","50","27","33","3.787878787878788","1.8181818181818181","41.303030303030305","1.8116"
"2","color-agents-by-metabolism","50","21","36","3.0277777777777777","1.9722222222222223","33.583333333333336","1.8088"
"2","color-agents-by-metabolism","50","22","36","3.0277777777777777","1.9722222222222223","34.388888888888886","1.8088"
"2","color-agents-by-metabolism","50","23","35","2.9714285714285715","1.9142857142857144","36.2","1.8088"
"11","color-agents-by-metabolism","100","0","100","3.51","2.51","15.25","1.8488"
"2","color-agents-by-metabolism","50","24","34","2.9705882352941178","1.8823529411764706","38.14705882352941","1.81"
"2","color-agents-by-metabolism","50","25","34","2.9705882352941178","1.8823529411764706","39.05882352941177","1.8108"
"10","color-agents-by-metabolism","50","0","50","3.1","2.46","14.46","1.8488"
"11","color-agents-by-metabolism","100","1","100","3.51","2.51","15.26","1.748"
"2","color-agents-by-metabolism","50","26","34","2.9705882352941178","1.8823529411764706","39.970588235294116","1.8108"
"2","color-agents-by-metabolism","50","27","34","2.9705882352941178","1.8823529411764706","40.88235294117647","1.8108"
"10","color-agents-by-metabolism","50","1","50","3.1","2.46","14.54","1.798"
"11","color-agents-by-metabolism","100","2","100","3.51","2.51","15.38","1.7436"
"10","color-agents-by-metabolism","50","2","49","3.142857142857143","2.4285714285714284","14.938775510204081","1.7976"
"10","color-agents-by-metabolism","50","3","49","3.142857142857143","2.4285714285714284","15.122448979591837","1.7976"
"10","color-agents-by-metabolism","50","4","47","3.106382978723404","2.3617021276595747","16","1.7976"
"10","color-agents-by-metabolism","50","5","44","3.227272727272727","2.340909090909091","17.431818181818183","1.7988"
"11","color-agents-by-metabolism","100","3","99","3.515151515151515","2.494949494949495","15.676767676767676","1.7428"
"10","color-agents-by-metabolism","50","6","42","3.238095238095238","2.261904761904762","18.785714285714285","1.8"
"9","color-agents-by-metabolism","50","0","50","3.8","2.7","15.92","1.8488"
"14","color-agents-by-metabolism","100","0","100","3.54","2.51","15.61","1.8488"
"12","color-agents-by-metabolism","100","0","100","3.32","2.34","15.6","1.8488"
