[run number],visualization,initial-population,[step],count turtles,mean [vision] of turtles,mean [metabolism] of turtles,mean [sugar] of turtles,mean [psugar] of patches
7,color-agents-by-metabolism,50,25,34,3.82352941176471,2.14705882352941,40.9117647058824,1.8052
8,color-agents-by-metabolism,50,17,40,3.5,1.95,31.6,1.8028
3,color-agents-by-metabolism,50,9,42,3.54761904761905,2.07142857142857,20.1904761904762,1.8052
4,color-agents-by-metabolism,50,25,28,3.32142857142857,1.5,47.0357142857143,1.8176
6,color-agents-by-metabolism,50,26,29,3.68965517241379,2.17241379310345,38.5172413793103,1.8124
7,color-agents-by-metabolism,50,26,34,3.82352941176471,2.14705882352941,41.9411764705882,1.8056
1,color-agents-by-metabolism,50,26,30,3.13333333333333,2,39.0333333333333,1.8132
6,color-agents-by-metabolism,50,27,29,3.68965517241379,2.17241379310345,39.4827586206897,1.8124
8,color-agents-by-metabolism,50,18,40,3.5,1.95,32.525,1.8028
3,color-agents-by-metabolism,50,10,41,3.60975609756098,2.07317073170732,21.219512195122,1.8052
5,color-agents-by-metabolism,50,17,37,3.64864864864865,2.32432432432432,25.4864864864865,1.806
1,color-agents-by-metabolism,50,27,30,3.13333333333333,2,40,1.8132
4,color-agents-by-metabolism,50,26,28,3.32142857142857,1.5,48.3214285714286,1.8176
5,color-agents-by-metabolism,50,18,37,3.64864864864865,2.32432432432432,26.0540540540541,1.806
4,color-agents-by-metabolism,50,27,28,3.32142857142857,1.5,49.6071428571429,1.8176
8,color-agents-by-metabolism,50,19,40,3.5,1.95,33.45,1.8028
2,color-agents-by-metabolism,50,14,36,3.02777777777778,1.97222222222222,27.9444444444444,1.8088
7,color-agents-by-metabolism,50,27,34,3.82352941176471,2.14705882352941,42.9705882352941,1.8056
3,color-agents-by-metabolism,50,11,39,3.61538461538462,1.97435897435897,22.9487179487179,1.8052
5,color-agents-by-metabolism,50,19,37,3.64864864864865,2.32432432432432,26.6216216216216,1.806
2,color-agents-by-metabolism,50,15,36,3.02777777777778,1.97222222222222,28.75,1.8088
3,color-agents-by-metabolism,50,12,39,3.61538461538462,1.97435897435897,23.6410256410256,1.8072
8,color-agents-by-metabolism,50,20,40,3.5,1.95,34.375,1.8028
3,color-agents-by-metabolism,50,13,39,3.61538461538462,1.97435897435897,24.3333333333333,1.8072
5,color-agents-by-metabolism,50,20,36,3.63888888888889,2.27777777777778,27.9444444444444,1.806
8,color-agents-by-metabolism,50,21,39,3.53846153846154,1.92307692307692,36.2051282051282,1.8028
3,color-agents-by-metabolism,50,14,39,3.61538461538462,1.97435897435897,25.025641025641,1.8072
2,color-agents-by-metabolism,50,16,36,3.02777777777778,1.97222222222222,29.5555555555556,1.8088
5,color-agents-by-metabolism,50,21,35,3.71428571428571,2.22857142857143,29.3714285714286,1.8072
8,color-agents-by-metabolism,50,22,39,3.53846153846154,1.92307692307692,37.1794871794872,1.8036
5,color-agents-by-metabolism,50,22,34,3.70588235294118,2.17647058823529,30.9117647058823,1.8084
8,color-agents-by-metabolism,50,23,38,3.60526315789474,1.94736842105263,39.1578947368421,1.8036
3,color-agents-by-metabolism,50,15,38,3.60526315789474,1.97368421052632,26.3947368421053,1.8072
3,color-agents-by-metabolism,50,16,38,3.60526315789474,1.97368421052632,27.1315789473684,1.8076
8,color-agents-by-metabolism,50,24,38,3.60526315789474,1.94736842105263,40.1842105263158,1.8036
3,color-agents-by-metabolism,50,17,38,3.60526315789474,1.97368421052632,27.8684210526316,1.8076
8,color-agents-by-metabolism,50,25,37,3.56756756756757,1.94594594594595,42.3243243243243,1.8036
5,color-agents-by-metabolism,50,23,34,3.70588235294118,2.17647058823529,31.6176470588235,1.8096
8,color-agents-by-metabolism,50,26,37,3.56756756756757,1.94594594594595,43.4054054054054,1.804
3,color-agents-by-metabolism,50,18,38,3.60526315789474,1.97368421052632,28.6052631578947,1.8076
8,color-agents-by-metabolism,50,27,37,3.56756756756757,1.94594594594595,44.4864864864865,1.804
3,color-agents-by-metabolism,50,19,37,3.56756756756757,1.94594594594595,30.1351351351351,1.8076
2,color-agents-by-metabolism,50,17,36,3.02777777777778,1.97222222222222,30.3611111111111,1.8088
