[run number],visualization,initial-population,[step],count turtles,mean [vision] of turtles,mean [metabolism] of turtles
10,color-agents-by-metabolism,50,20,39,3.564102564,2.205128205
10,color-agents-by-metabolism,50,21,39,3.564102564,2.205128205
10,color-agents-by-metabolism,50,22,39,3.564102564,2.205128205
10,color-agents-by-metabolism,50,23,39,3.564102564,2.205128205
10,color-agents-by-metabolism,50,24,39,3.564102564,2.205128205
10,color-agents-by-metabolism,50,25,39,3.564102564,2.205128205
10,color-agents-by-metabolism,50,26,39,3.564102564,2.205128205
10,color-agents-by-metabolism,50,27,39,3.564102564,2.205128205
11,color-agents-by-metabolism,100,0,100,3.48,2.55
11,color-agents-by-metabolism,100,1,100,3.48,2.55
11,color-agents-by-metabolism,100,2,100,3.48,2.55
11,color-agents-by-metabolism,100,3,98,3.479591837,2.540816327
11,color-agents-by-metabolism,100,4,95,3.526315789,2.494736842
11,color-agents-by-metabolism,100,5,90,3.5,2.433333333
11,color-agents-by-metabolism,100,6,90,3.5,2.433333333
11,color-agents-by-metabolism,100,7,90,3.5,2.433333333
11,color-agents-by-metabolism,100,8,84,3.464285714,2.345238095
11,color-agents-by-metabolism,100,9,81,3.481481481,2.333333333
11,color-agents-by-metabolism,100,10,80,3.475,2.35
11,color-agents-by-metabolism,100,11,79,3.481012658,2.329113924
11,color-agents-by-metabolism,100,12,76,3.526315789,2.289473684
11,color-agents-by-metabolism,100,13,72,3.513888889,2.25
11,color-agents-by-metabolism,100,14,72,3.513888889,2.25
11,color-agents-by-metabolism,100,15,71,3.521126761,2.23943662
11,color-agents-by-metabolism,100,16,71,3.521126761,2.23943662
11,color-agents-by-metabolism,100,17,70,3.5,2.214285714
11,color-agents-by-metabolism,100,18,70,3.5,2.214285714
11,color-agents-by-metabolism,100,19,69,3.492753623,2.188405797
11,color-agents-by-metabolism,100,20,68,3.485294118,2.176470588
11,color-agents-by-metabolism,100,21,68,3.485294118,2.176470588
11,color-agents-by-metabolism,100,22,67,3.492537313,2.179104478
11,color-agents-by-metabolism,100,23,65,3.569230769,2.123076923
11,color-agents-by-metabolism,100,24,65,3.569230769,2.123076923
11,color-agents-by-metabolism,100,25,64,3.59375,2.109375
11,color-agents-by-metabolism,100,26,64,3.59375,2.109375
11,color-agents-by-metabolism,100,27,64,3.59375,2.109375
12,color-agents-by-metabolism,100,0,100,3.56,2.6
12,color-agents-by-metabolism,100,1,100,3.56,2.6
12,color-agents-by-metabolism,100,2,99,3.565656566,2.585858586
12,color-agents-by-metabolism,100,3,95,3.578947368,2.536842105
12,color-agents-by-metabolism,100,4,91,3.593406593,2.472527473
12,color-agents-by-metabolism,100,5,86,3.593023256,2.418604651
12,color-agents-by-metabolism,100,6,84,3.607142857,2.404761905
12,color-agents-by-metabolism,100,7,77,3.766233766,2.311688312
12,color-agents-by-metabolism,100,8,77,3.766233766,2.311688312
12,color-agents-by-metabolism,100,9,74,3.837837838,2.283783784
12,color-agents-by-metabolism,100,10,71,3.85915493,2.211267606
12,color-agents-by-metabolism,100,11,68,3.926470588,2.176470588
12,color-agents-by-metabolism,100,12,67,3.925373134,2.194029851
12,color-agents-by-metabolism,100,13,66,3.96969697,2.181818182
12,color-agents-by-metabolism,100,14,66,3.96969697,2.181818182
